numFeatures;meanScore;stdScore
1;0.479;0.038
2;0.479;0.046
3;0.526;0.043
4;0.527;0.044
5;0.533;0.046
6;0.525;0.044
7;0.534;0.046
8;0.529;0.047
9;0.530;0.049
10;0.530;0.049
11;0.523;0.051
12;0.530;0.049
13;0.532;0.048
14;0.532;0.050
15;0.542;0.051
16;0.555;0.046
17;0.552;0.051
18;0.550;0.051
19;0.549;0.052
20;0.550;0.052
21;0.558;0.050
22;0.578;0.046
23;0.579;0.044
24;0.584;0.046
25;0.583;0.048
26;0.593;0.048
27;0.590;0.046
28;0.586;0.048
29;0.586;0.047
30;0.585;0.044
31;0.584;0.044
32;0.585;0.044
33;0.583;0.047
34;0.578;0.046
35;0.584;0.044
36;0.579;0.044
37;0.580;0.043
38;0.578;0.046
39;0.583;0.045
40;0.587;0.050
41;0.584;0.051
42;0.584;0.051
43;0.581;0.052
44;0.585;0.051
45;0.581;0.049
46;0.586;0.050
47;0.586;0.050
48;0.585;0.048
49;0.588;0.049
50;0.585;0.051
51;0.587;0.052
52;0.590;0.053
53;0.589;0.056
54;0.591;0.053
55;0.587;0.051
56;0.587;0.052
57;0.581;0.050
58;0.581;0.050
59;0.578;0.050
60;0.574;0.051
61;0.575;0.047
62;0.573;0.049
63;0.571;0.047
64;0.571;0.047
65;0.578;0.048
66;0.574;0.047
67;0.573;0.045
68;0.573;0.047
69;0.573;0.046
70;0.569;0.046
71;0.567;0.047
72;0.571;0.046
73;0.571;0.045
74;0.565;0.047
75;0.567;0.045
76;0.572;0.047
77;0.568;0.044
78;0.567;0.041
79;0.570;0.043
80;0.566;0.045
81;0.568;0.045
82;0.571;0.041
83;0.569;0.041
84;0.575;0.039
85;0.567;0.042
86;0.565;0.044
87;0.567;0.042
88;0.563;0.045
89;0.565;0.047
90;0.573;0.048
91;0.569;0.045
92;0.567;0.043
93;0.564;0.043
94;0.564;0.043
95;0.559;0.043
96;0.560;0.047
97;0.562;0.043
98;0.564;0.048
99;0.563;0.043
100;0.566;0.044
110;0.564;0.041
120;0.586;0.042
130;0.580;0.042
140;0.599;0.039
150;0.593;0.047
160;0.593;0.042
170;0.590;0.044
180;0.588;0.045
190;0.590;0.044
200;0.597;0.041
210;0.598;0.042
220;0.593;0.045
230;0.600;0.040
240;0.601;0.042
250;0.604;0.031
260;0.607;0.038
270;0.607;0.041
280;0.608;0.036
290;0.606;0.037
300;0.615;0.037
310;0.614;0.040
320;0.616;0.043
330;0.624;0.039
340;0.625;0.043
350;0.634;0.041
360;0.631;0.039
370;0.634;0.041
380;0.638;0.038
390;0.636;0.038
400;0.643;0.039
410;0.642;0.041
420;0.639;0.040
430;0.646;0.038
440;0.643;0.041
450;0.642;0.041
460;0.643;0.041
470;0.641;0.040
480;0.654;0.044
490;0.651;0.045
500;0.652;0.043
510;0.651;0.044
520;0.649;0.042
530;0.647;0.042
540;0.644;0.042
550;0.651;0.041
560;0.655;0.042
570;0.651;0.045
580;0.657;0.044
590;0.658;0.045
600;0.655;0.043
610;0.660;0.039
620;0.658;0.043
630;0.659;0.043
640;0.663;0.040
650;0.664;0.042
660;0.665;0.041
670;0.667;0.041
680;0.663;0.041
690;0.659;0.039
700;0.658;0.041
710;0.657;0.041
720;0.666;0.040
730;0.665;0.039
740;0.664;0.041
750;0.669;0.042
760;0.663;0.041
770;0.664;0.043
780;0.664;0.043
790;0.669;0.043
800;0.670;0.045
810;0.669;0.044
820;0.670;0.043
830;0.675;0.040
840;0.673;0.043
850;0.671;0.042
860;0.667;0.041
870;0.670;0.045
880;0.670;0.042
890;0.667;0.044
900;0.668;0.045
910;0.670;0.043
920;0.668;0.043
930;0.668;0.041
940;0.668;0.043
950;0.665;0.047
960;0.665;0.046
970;0.659;0.045
